0.0.0.0		0.0.0.0		*		192.168.1.1		DEFAULT		1
202.167.222.0		255.255.255.0		110010101010011111011110		169.5.6.175		S4		15
215.57.134.0		255.255.255.0		110101110011100110000110		33.105.201.17		S3		2
200.48.25.0		255.255.255.0		110010000011000000011001		145.58.127.157		S4		5
217.21.249.0		255.255.255.0		110110010001010111111001		174.85.184.18		S1		8
203.30.215.0		255.255.255.0		110010110001111011010111		194.224.187.46		S4		11
196.30.187.0		255.255.255.0		110001000001111010111011		220.243.159.199		S3		14
193.174.120.0		255.255.255.0		110000011010111001111000		149.117.129.151		S3		6
212.39.171.0		255.255.255.0		110101000010011110101011		206.237.214.144		S3		5
194.169.64.0		255.255.255.0		110000101010100101000000		186.43.34.177		S3		14
205.128.156.0		255.255.255.0		110011011000000010011100		211.33.209.135		S4		14
203.219.18.0		255.255.255.0		110010111101101100010010		148.146.24.189		S1		2
192.231.219.0		255.255.255.0		110000001110011111011011		73.152.28.175		S2		15
203.131.236.0		255.255.255.0		110010111000001111101100		74.110.106.57		S3		8
215.31.207.0		255.255.255.0		110101110001111111001111		39.19.49.35		S3		7
200.63.170.0		255.255.255.0		110010000011111110101010		138.27.252.38		S1		11
199.38.58.0		255.255.255.0		110001110010011000111010		8.41.21.115		S3		5
194.121.133.0		255.255.255.0		110000100111100110000101		133.33.208.62		S1		2
222.162.166.0		255.255.255.0		110111101010001010100110		18.226.190.9		S4		16
217.68.27.0		255.255.255.0		110110010100010000011011		208.230.69.199		S2		6
207.82.228.0		255.255.255.0		110011110101001011100100		124.245.182.150		S4		9
202.187.80.0		255.255.255.0		110010101011101101010000		118.14.27.98		S4		14
193.201.152.0		255.255.255.0		110000011100100110011000		83.10.167.221		S1		12
208.102.124.0		255.255.255.0		110100000110011001111100		201.105.182.134		S2		16
204.83.32.0		255.255.255.0		110011000101001100100000		144.221.11.206		S1		6
203.84.8.0		255.255.255.0		110010110101010000001000		200.28.39.146		S4		7
208.12.160.0		255.255.255.0		110100000000110010100000		20.168.198.254		S2		13
220.65.46.0		255.255.255.0		110111000100000100101110		195.215.153.231		S1		8
220.31.235.0		255.255.255.0		110111000001111111101011		179.143.5.61		S2		15
193.179.124.0		255.255.255.0		110000011011001101111100		158.215.12.122		S1		7
192.152.251.0		255.255.255.0		110000001001100011111011		28.138.223.48		S4		1
209.18.187.0		255.255.255.0		110100010001001010111011		68.95.0.20		S4		11
218.245.218.0		255.255.255.0		110110101111010111011010		96.30.221.100		S2		4
220.236.157.0		255.255.255.0		110111001110110010011101		47.232.102.87		S1		13
210.39.30.0		255.255.255.0		110100100010011100011110		142.4.87.27		S2		2
223.56.142.0		255.255.255.0		110111110011100010001110		132.243.65.28		S4		13
196.102.7.0		255.255.255.0		110001000110011000000111		50.93.136.3		S1		11
217.234.4.0		255.255.255.0		110110011110101000000100		107.157.105.143		S2		11
222.194.238.0		255.255.255.0		110111101100001011101110		178.63.157.105		S2		13
214.112.64.0		255.255.255.0		110101100111000001000000		2.220.243.217		S4		9
194.10.202.0		255.255.255.0		110000100000101011001010		135.38.42.81		S4		8
213.205.135.0		255.255.255.0		110101011100110110000111		18.155.231.197		S1		5
203.49.26.0		255.255.255.0		110010110011000100011010		218.126.138.45		S4		14
220.35.201.0		255.255.255.0		110111000010001111001001		104.93.8.221		S2		14
203.100.35.0		255.255.255.0		110010110110010000100011		15.137.179.172		S2		6
223.194.215.0		255.255.255.0		110111111100001011010111		44.79.43.219		S3		8
223.38.170.0		255.255.255.0		110111110010011010101010		201.110.248.7		S3		5
219.253.151.0		255.255.255.0		110110111111110110010111		52.152.224.82		S2		3
215.5.16.0		255.255.255.0		110101110000010100010000		87.17.252.79		S2		8
195.186.21.0		255.255.255.0		110000111011101000010101		39.93.238.163		S2		7
201.147.14.0		255.255.255.0		110010011001001100001110		122.250.76.248		S2		6
220.165.169.0		255.255.255.0		110111001010010110101001		175.67.243.126		S1		5
205.197.48.0		255.255.255.0		110011011100010100110000		101.83.205.194		S2		2
213.24.36.0		255.255.255.0		110101010001100000100100		46.85.147.156		S1		9
202.54.34.0		255.255.255.0		110010100011011000100010		139.146.253.86		S2		13
215.89.103.0		255.255.255.0		110101110101100101100111		97.239.69.122		S4		6
205.189.96.0		255.255.255.0		110011011011110101100000		35.246.43.4		S3		7
204.247.140.0		255.255.255.0		110011001111011110001100		168.132.106.240		S3		11
202.24.225.0		255.255.255.0		110010100001100011100001		107.131.209.237		S1		9
216.134.43.0		255.255.255.0		110110001000011000101011		161.68.87.54		S4		1
213.97.58.0		255.255.255.0		110101010110000100111010		188.99.44.106		S1		9
220.87.203.0		255.255.255.0		110111000101011111001011		23.221.111.155		S3		6
218.27.229.0		255.255.255.0		110110100001101111100101		118.193.218.64		S4		15
215.221.239.0		255.255.255.0		110101111101110111101111		137.103.35.150		S4		16
214.79.254.0		255.255.255.0		110101100100111111111110		83.108.145.29		S2		2
206.138.26.0		255.255.255.0		110011101000101000011010		126.89.108.81		S2		6
198.59.174.0		255.255.255.0		110001100011101110101110		59.99.98.9		S1		15
223.18.229.0		255.255.255.0		110111110001001011100101		221.17.62.217		S3		9
198.129.194.0		255.255.255.0		110001101000000111000010		204.3.86.202		S2		16
205.98.37.0		255.255.255.0		110011010110001000100101		182.215.191.15		S4		3
216.146.142.0		255.255.255.0		110110001001001010001110		98.25.56.58		S2		9
200.175.232.0		255.255.255.0		110010001010111111101000		218.4.221.60		S2		9
193.228.119.0		255.255.255.0		110000011110010001110111		3.169.14.195		S2		5
217.132.141.0		255.255.255.0		110110011000010010001101		83.198.63.122		S4		13
215.246.156.0		255.255.255.0		110101111111011010011100		209.6.150.155		S3		16
219.103.14.0		255.255.255.0		110110110110011100001110		26.224.75.118		S4		8
205.114.6.0		255.255.255.0		110011010111001000000110		159.55.103.134		S3		10
195.24.246.0		255.255.255.0		110000110001100011110110		4.125.15.216		S4		5
195.18.82.0		255.255.255.0		110000110001001001010010		148.63.56.245		S1		12
208.31.223.0		255.255.255.0		110100000001111111011111		67.213.14.161		S2		2
199.157.91.0		255.255.255.0		110001111001110101011011		135.231.174.62		S4		5
223.53.253.0		255.255.255.0		110111110011010111111101		91.97.13.13		S1		11
209.90.17.0		255.255.255.0		110100010101101000010001		159.195.129.209		S1		5
204.119.237.0		255.255.255.0		110011000111011111101101		9.57.177.55		S1		2
198.234.180.0		255.255.255.0		110001101110101010110100		24.249.48.77		S2		10
192.59.153.0		255.255.255.0		110000000011101110011001		130.138.6.255		S2		13
198.248.245.0		255.255.255.0		110001101111100011110101		26.1.153.106		S2		5
197.95.34.0		255.255.255.0		110001010101111100100010		145.225.232.241		S4		9
194.32.81.0		255.255.255.0		110000100010000001010001		123.16.192.22		S4		16
195.140.237.0		255.255.255.0		110000111000110011101101		153.232.63.82		S1		1
203.45.172.0		255.255.255.0		110010110010110110101100		192.15.223.4		S4		16
208.82.209.0		255.255.255.0		110100000101001011010001		68.221.71.27		S2		13
210.151.42.0		255.255.255.0		110100101001011100101010		145.252.41.163		S1		7
207.124.103.0		255.255.255.0		110011110111110001100111		110.117.241.201		S4		12
205.138.244.0		255.255.255.0		110011011000101011110100		215.0.105.210		S2		16
223.183.7.0		255.255.255.0		110111111011011100000111		86.38.144.62		S4		11
195.181.187.0		255.255.255.0		110000111011010110111011		139.124.57.196		S4		2
207.235.242.0		255.255.255.0		110011111110101111110010		219.104.67.161		S2		13
204.24.180.0		255.255.255.0		110011000001100010110100		89.93.45.32		S1		3
203.52.46.0		255.255.255.0		110010110011010000101110		202.195.80.50		S1		13
198.14.254.0		255.255.255.0		110001100000111011111110		30.112.174.169		S1		6
211.200.95.0		255.255.255.0		110100111100100001011111		110.208.17.102		S2		15
216.222.105.0		255.255.255.0		110110001101111001101001		61.254.112.57		S1		8
194.188.214.0		255.255.255.0		110000101011110011010110		59.220.69.113		S1		4
201.110.109.0		255.255.255.0		110010010110111001101101		39.36.213.193		S1		9
201.133.250.0		255.255.255.0		110010011000010111111010		134.91.49.120		S1		5
218.154.236.0		255.255.255.0		110110101001101011101100		135.97.184.166		S2		12
203.29.66.0		255.255.255.0		110010110001110101000010		38.105.149.186		S3		8
215.34.157.0		255.255.255.0		110101110010001010011101		150.43.93.184		S4		2
216.223.106.0		255.255.255.0		110110001101111101101010		31.42.177.85		S2		8
212.5.60.0		255.255.255.0		110101000000010100111100		213.26.145.193		S4		10
214.34.42.0		255.255.255.0		110101100010001000101010		11.57.26.91		S1		3
200.62.161.0		255.255.255.0		110010000011111010100001		122.230.18.83		S3		8
200.145.78.0		255.255.255.0		110010001001000101001110		94.17.244.47		S1		10
209.221.28.0		255.255.255.0		110100011101110100011100		149.88.192.96		S4		5
195.72.185.0		255.255.255.0		110000110100100010111001		138.210.236.71		S3		6
213.34.50.0		255.255.255.0		110101010010001000110010		196.182.130.231		S4		10
217.109.49.0		255.255.255.0		110110010110110100110001		55.248.140.155		S4		7
211.212.70.0		255.255.255.0		110100111101010001000110		62.50.46.226		S3		15
212.117.65.0		255.255.255.0		110101000111010101000001		14.168.156.147		S4		7
210.135.52.0		255.255.255.0		110100101000011100110100		110.11.226.146		S2		4
204.156.97.0		255.255.255.0		110011001001110001100001		71.47.24.132		S3		11
219.47.60.0		255.255.255.0		110110110010111100111100		129.118.248.119		S2		1
223.6.44.0		255.255.255.0		110111110000011000101100		36.167.97.185		S4		16
192.236.82.0		255.255.255.0		110000001110110001010010		29.5.111.1		S4		14
214.9.90.0		255.255.255.0		110101100000100101011010		109.130.92.11		S4		12
216.228.103.0		255.255.255.0		110110001110010001100111		51.133.179.187		S2		9
217.165.121.0		255.255.255.0		110110011010010101111001		138.199.144.42		S4		11
223.56.77.0		255.255.255.0		110111110011100001001101		62.35.103.226		S3		6
222.188.180.0		255.255.255.0		110111101011110010110100		170.67.248.103		S3		13
206.54.217.0		255.255.255.0		110011100011011011011001		190.145.65.37		S4		3
214.64.49.0		255.255.255.0		110101100100000000110001		119.183.95.116		S3		14
218.34.138.0		255.255.255.0		110110100010001010001010		135.154.14.17		S2		16
220.174.254.0		255.255.255.0		110111001010111011111110		5.192.240.33		S4		3
212.41.99.0		255.255.255.0		110101000010100101100011		132.141.167.123		S3		12
205.215.121.0		255.255.255.0		110011011101011101111001		211.207.114.152		S4		1
208.154.189.0		255.255.255.0		110100001001101010111101		124.141.234.218		S2		7
196.161.129.0		255.255.255.0		110001001010000110000001		160.246.26.204		S3		4
221.89.89.0		255.255.255.0		110111010101100101011001		160.225.41.141		S2		11
192.1.199.0		255.255.255.0		110000000000000111000111		11.44.221.187		S2		16
202.224.161.0		255.255.255.0		110010101110000010100001		2.140.116.171		S2		16
197.157.253.0		255.255.255.0		110001011001110111111101		191.188.241.232		S2		2
212.171.34.0		255.255.255.0		110101001010101100100010		102.186.49.178		S2		16
223.92.232.0		255.255.255.0		110111110101110011101000		215.220.166.175		S3		6
198.4.137.0		255.255.255.0		110001100000010010001001		66.99.121.188		S1		11
220.119.123.0		255.255.255.0		110111000111011101111011		17.126.154.227		S2		13
217.50.235.0		255.255.255.0		110110010011001011101011		201.149.21.161		S4		10
201.23.134.0		255.255.255.0		110010010001011110000110		30.61.102.85		S2		6
213.116.39.0		255.255.255.0		110101010111010000100111		100.1.215.179		S3		16
199.86.230.0		255.255.255.0		110001110101011011100110		96.60.151.172		S2		2
217.90.174.0		255.255.255.0		110110010101101010101110		214.129.241.6		S3		3
222.7.75.0		255.255.255.0		110111100000011101001011		97.253.72.70		S4		1
213.145.164.0		255.255.255.0		110101011001000110100100		20.64.255.223		S3		5
214.39.253.0		255.255.255.0		110101100010011111111101		8.21.150.159		S1		6
218.34.16.0		255.255.255.0		110110100010001000010000		59.0.37.103		S4		16
222.177.52.0		255.255.255.0		110111101011000100110100		22.117.216.101		S3		5
196.221.66.0		255.255.255.0		110001001101110101000010		125.37.115.7		S4		2
206.9.136.0		255.255.255.0		110011100000100110001000		156.152.61.220		S4		5
192.135.87.0		255.255.255.0		110000001000011101010111		193.237.198.131		S1		8
220.148.218.0		255.255.255.0		110111001001010011011010		14.5.19.219		S2		4
211.19.219.0		255.255.255.0		110100110001001111011011		151.247.85.103		S2		15
206.145.109.0		255.255.255.0		110011101001000101101101		28.170.119.106		S4		15
212.140.51.0		255.255.255.0		110101001000110000110011		100.1.52.253		S1		4
195.44.253.0		255.255.255.0		110000110010110011111101		100.253.61.254		S2		7
220.21.54.0		255.255.255.0		110111000001010100110110		1.219.58.30		S3		8
218.142.214.0		255.255.255.0		110110101000111011010110		177.2.220.252		S1		9
214.205.40.0		255.255.255.0		110101101100110100101000		117.126.208.188		S2		5
221.191.57.0		255.255.255.0		110111011011111100111001		33.62.161.147		S4		9
208.133.13.0		255.255.255.0		110100001000010100001101		164.193.26.216		S3		14
197.49.77.0		255.255.255.0		110001010011000101001101		74.139.252.245		S1		9
221.118.37.0		255.255.255.0		110111010111011000100101		129.148.251.235		S3		6
200.244.207.0		255.255.255.0		110010001111010011001111		49.178.128.131		S3		15
200.244.195.0		255.255.255.0		110010001111010011000011		113.34.104.188		S2		12
220.182.49.0		255.255.255.0		110111001011011000110001		180.107.146.169		S4		6
201.69.229.0		255.255.255.0		110010010100010111100101		119.11.147.14		S1		13
219.98.224.0		255.255.255.0		110110110110001011100000		140.210.132.51		S3		5
219.193.93.0		255.255.255.0		110110111100000101011101		199.250.39.114		S3		6
194.225.40.0		255.255.255.0		110000101110000100101000		57.12.118.196		S1		10
211.123.24.0		255.255.255.0		110100110111101100011000		192.242.175.232		S4		4
194.57.214.0		255.255.255.0		110000100011100111010110		20.36.187.206		S3		13
202.52.197.0		255.255.255.0		110010100011010011000101		2.92.213.137		S3		6
213.51.224.0		255.255.255.0		110101010011001111100000		121.208.77.122		S4		2
209.213.222.0		255.255.255.0		110100011101010111011110		23.140.112.120		S2		5
211.142.202.0		255.255.255.0		110100111000111011001010		150.214.157.168		S2		5
216.13.5.0		255.255.255.0		110110000000110100000101		166.107.8.143		S4		5
223.73.176.0		255.255.255.0		110111110100100110110000		14.195.181.163		S1		14
